Strain,Australis,Autumnalis,Ballum,Bataviae,Canicola,Celledoni,Cynopteri,Djasiman,Grippotyphosa,Hebdomadis,Icterohaemorrhagiae,Javanica,Manhao,Mini,Panama,Pomona,Pyrogenes,Ranarum,Sarmin,Sejroe,Shermani,Tarassovi,Serogroup,class,Species,max
200701182,49.805,56.092,61.158,44.708,90.636,59.179,56.658,61.955,61.754,48.879,93.562,64.922,64.416,43.161,51.239,58.92,83.583,58.942,64.371,45.642,46.2,50.672,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni str. 200701182,93.562
Fiocruz_R154,48.737,55.532,60.456,43.886,90.369,57.901,55.625,61.512,60.366,48.126,93.564,64.244,63.772,42.418,50.549,58.301,82.017,57.613,63.744,44.946,45.076,49.885,Icterohaemorrhagiae,1,interrogans,93.564
Fiocruz_LV3096,48.77,55.378,60.371,43.389,90.397,57.792,54.928,60.93,59.956,47.504,93.602,64.257,63.763,41.935,50.038,57.914,82.055,57.584,63.604,44.421,44.227,49.543,Icterohaemorrhagiae,1,interrogans,93.602
Fiocruz_LV2825,48.922,55.538,60.425,43.92,90.407,58.184,55.652,61.538,60.132,48.12,93.606,64.307,63.829,42.41,50.546,58.122,82.07,57.671,64.119,44.938,45.076,49.611,Icterohaemorrhagiae,1,interrogans,93.606
Vehlefans_3,65.286,79.799,48.249,40.278,53.23,42.326,93.608,81.041,89.754,36.728,52.776,48.786,44.738,32.296,62.669,80.416,52.42,42.538,44.741,35.268,39.915,40.791,Pomona,2,kirschneri,93.608
Vehlefans_2,65.329,80.136,48.249,40.314,53.23,42.322,93.622,81.041,89.754,36.728,52.776,48.881,44.738,32.296,62.569,80.416,52.439,42.538,44.741,35.268,39.915,41.529,Pomona,2,kirschneri,93.622
Fiocruz_LV3094,48.852,55.459,60.58,43.398,90.426,57.973,55.225,60.961,60.07,47.54,93.626,64.452,63.951,42.146,50.071,57.939,82.198,57.761,63.807,44.663,44.661,49.799,Icterohaemorrhagiae,1,interrogans,93.626
202102997,48.85,56.56,61.005,43.452,89.303,59.305,55.665,61.405,60.563,49.234,93.638,65.067,64.439,43.77,49.665,58.054,82.449,59.066,64.65,46.39,46.274,51.164,Icterohaemorrhagiae,1,interrogans,93.638
CLEP00179,49.916,55.876,61.271,44.836,90.761,59.283,56.479,62.096,61.895,49.02,93.682,65.029,64.521,43.396,51.362,59.012,83.373,59.05,64.356,45.886,46.252,50.922,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni,93.682
UP-OM,50.482,53.22,68.696,43.704,87.958,63.041,51.34,58.063,58.444,48.09,84.475,66.764,65.01,42.11,50.995,55.76,93.69,62.161,66.82,44.096,46.678,51.321,Pyrogenes,1,interrogans,93.69
Fiocruz_LV3834,48.988,55.598,60.715,43.927,90.832,57.882,55.426,61.546,60.543,48.126,93.699,64.321,64.07,42.418,50.285,58.22,82.46,57.909,63.7,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,93.699
202103003,48.936,56.549,60.342,43.697,89.422,59.188,55.725,61.662,60.496,48.676,93.753,64.444,64.221,43.141,49.782,58.158,82.581,58.4,64.415,45.708,45.3,50.561,Icterohaemorrhagiae,1,interrogans,93.753
Fiocruz_LV3086,49.231,55.89,60.805,43.927,90.593,57.92,55.656,61.542,60.539,47.986,93.789,64.413,63.935,42.283,50.549,58.485,82.243,57.774,63.897,44.808,45.076,50.089,Icterohaemorrhagiae,1,interrogans,93.789
L495,50.088,53.93,68.285,43.239,87.511,63.007,51.584,57.646,57.751,47.344,84.517,66.38,64.451,41.56,50.59,55.51,93.791,61.746,66.843,43.344,45.596,51.51,Pyrogenes,1,interrogans,93.791
HAI821,34.52,35.832,44.754,50.92,45.772,41.046,36.318,38.142,41.294,38.247,45.184,42.838,39.896,37.665,35.488,39.193,44.879,40.352,47.963,37.314,93.803,77.21,Tarassovi,4,santarosai,93.803
Fiocruz_LV2805,49.071,55.68,60.624,43.778,90.648,58.144,55.597,61.454,60.315,48.044,93.837,64.515,63.977,42.368,50.347,58.307,81.963,57.825,64.085,44.903,45.001,50.044,Icterohaemorrhagiae,1,interrogans,93.837
Fiocruz_LV192,49.232,55.877,60.637,43.925,90.686,58.013,55.657,61.544,60.541,47.838,93.87,64.504,63.973,42.169,50.551,58.488,82.315,57.824,64.021,44.684,45.061,50.089,Icterohaemorrhagiae,1,interrogans,93.87
CR2120,35.663,36.211,44.996,51.924,46.136,39.81,37.837,39.03,41.702,39.15,45.593,43.039,40.192,38.222,36.593,40.527,45.24,40.687,48.326,38.919,93.883,76.733,Shermani,4,santarosai,93.883
Fiocruz_LV2948,49.234,55.878,60.796,43.927,90.715,58.01,55.659,61.546,60.543,47.908,93.897,64.487,63.982,42.117,50.552,58.454,82.201,57.821,63.834,44.745,45.076,50.067,Icterohaemorrhagiae,1,interrogans,93.897
Ag07_2020,64.025,79.555,50.842,41.913,55.927,43.107,86.873,84.497,93.901,39.286,53.13,49.446,47.629,34.542,62.158,75.87,54.001,45.933,45.8,37.012,43.646,43.762,Grippotyphosa,2,kirschneri,93.901
Mallika,60.392,72.774,46.736,40.627,53.582,42.032,78.978,93.902,83.123,38.211,53.897,47.011,43.979,33.146,59.811,84.822,52.871,40.358,44.72,35.098,38.903,39.012,Autumnalis,2,Leptospira interrogans serovar Bulgarica str. Mallika,93.902
Fiocruz_LV130,49.231,55.971,60.811,43.927,90.938,58.263,56.33,61.542,60.539,48.126,93.905,64.67,64.159,42.266,50.639,58.485,83.023,57.988,64.123,44.786,44.997,49.925,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV3409,49.231,55.47,60.791,43.927,90.938,58.263,56.346,61.542,60.539,48.126,93.905,64.67,64.159,42.386,50.639,58.451,83.032,57.988,64.005,44.946,44.982,50.089,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV4034,49.231,55.555,60.791,43.927,90.938,58.183,55.656,61.542,60.539,48.126,93.905,64.67,64.159,41.969,50.549,58.451,82.302,57.988,64.005,44.508,44.997,49.635,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV4108,49.231,55.278,60.791,43.927,90.938,58.263,56.267,61.542,60.539,48.126,93.905,64.67,64.159,41.969,50.639,58.485,82.881,57.988,64.123,44.508,44.838,49.636,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV4113,49.231,55.512,60.791,43.927,90.938,58.183,56.079,61.542,60.539,48.126,93.905,64.67,64.159,42.386,50.549,58.451,82.865,57.988,64.005,44.946,44.867,50.089,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV4188,49.231,55.761,60.811,43.927,90.938,58.183,56.079,61.542,60.539,48.126,93.905,64.67,64.159,42.208,50.549,58.485,82.878,57.988,64.123,44.731,44.997,49.864,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_LV4225,49.231,55.477,60.791,43.927,90.938,58.183,56.157,61.542,60.539,48.126,93.905,64.67,64.159,42.386,49.893,58.451,82.757,57.988,64.005,44.946,44.838,50.089,Icterohaemorrhagiae,1,interrogans,93.905
Fiocruz_2756_C1,49.057,55.687,60.814,43.927,90.941,58.266,55.848,61.546,60.543,48.126,93.908,64.673,64.162,42.418,50.643,58.488,83.219,57.991,64.126,44.946,44.305,50.089,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV251,49.057,55.508,60.814,43.927,90.941,58.186,55.973,61.546,60.543,48.126,93.908,64.673,64.162,42.418,50.552,58.454,83.072,57.991,64.008,44.946,44.305,50.104,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2750,49.234,55.673,60.814,43.927,90.941,58.186,55.973,61.546,60.543,48.126,93.908,64.673,64.162,41.998,50.552,58.488,82.777,57.991,64.126,44.512,44.997,49.64,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2755,49.057,55.692,60.794,43.927,90.941,58.186,56.145,61.546,60.543,48.126,93.908,64.673,64.162,41.969,50.552,58.454,83.006,57.991,64.008,44.515,44.384,49.643,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2766,49.234,55.968,60.814,43.927,90.941,58.186,56.145,61.546,60.543,48.126,93.908,64.673,64.162,42.215,50.552,58.488,82.713,57.991,64.126,44.738,44.997,49.872,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2807,49.234,55.308,60.814,43.927,90.941,58.186,56.02,61.546,60.543,48.126,93.908,64.673,64.162,41.991,50.552,58.454,82.964,57.991,64.008,44.505,44.838,49.632,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2816,49.234,55.877,60.794,43.927,90.941,58.186,56.208,61.546,60.543,48.126,93.908,64.673,64.162,42.284,50.552,58.488,83.067,57.991,64.126,44.839,44.997,49.979,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2841,49.234,55.473,60.794,43.927,90.941,58.266,56.208,61.546,60.543,48.126,93.908,64.673,64.162,42.386,49.986,58.488,82.641,57.991,64.126,44.946,44.838,50.089,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV2919,49.234,55.882,60.794,43.927,90.941,58.266,56.271,61.546,60.543,48.126,93.908,64.673,64.162,41.972,50.643,58.488,82.232,57.991,64.126,44.512,45.076,49.64,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV3076,49.234,55.636,60.814,43.927,90.941,58.266,56.24,61.546,60.543,48.126,93.908,64.673,64.162,41.92,50.643,58.488,81.984,57.991,64.126,44.428,44.845,49.554,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV3213,49.234,55.974,60.814,43.927,90.941,58.266,56.161,61.546,60.543,48.126,93.908,64.673,64.162,42.316,50.643,58.488,82.855,57.991,64.126,44.839,44.997,49.979,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV3726,49.234,55.897,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,93.908,64.673,64.162,41.994,49.896,58.488,82.881,57.991,64.126,44.491,44.997,49.647,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4114,49.234,55.951,60.794,43.927,90.941,58.266,56.334,61.546,60.543,48.126,93.908,64.673,64.162,41.972,50.643,58.454,82.971,57.991,64.008,44.519,45.061,49.647,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4118,49.234,55.705,60.814,43.927,90.941,58.266,56.334,61.546,60.543,48.126,93.908,64.673,64.162,42.001,50.643,58.454,82.953,57.991,64.008,44.508,44.997,49.636,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4152,49.234,55.344,60.814,43.927,90.941,58.266,56.161,61.546,60.543,48.126,93.908,64.673,64.162,42.004,50.643,58.454,83.012,57.991,64.008,44.519,44.982,49.647,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4160,49.234,55.48,60.814,43.927,90.941,58.186,56.161,61.546,60.543,48.126,93.908,64.673,64.162,41.892,49.896,58.454,82.533,57.991,64.008,44.404,44.838,49.536,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4173,49.234,55.523,60.814,43.927,90.941,58.186,55.973,61.546,60.543,48.126,93.908,64.673,64.162,42.418,49.896,58.454,82.784,57.991,64.008,44.946,44.997,50.089,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4174,49.234,55.623,60.814,43.927,90.941,58.186,56.02,61.546,60.543,48.126,93.908,64.673,64.162,42.215,50.552,58.488,83.048,57.991,64.126,44.738,44.997,49.872,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4211,49.234,55.291,60.794,43.927,90.941,58.186,56.145,61.546,60.543,48.126,93.908,64.673,64.162,41.969,50.552,58.454,82.796,57.991,64.008,44.515,44.838,49.643,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4212,49.234,55.498,60.814,43.927,90.941,58.186,56.082,61.546,60.543,48.126,93.908,64.673,64.162,41.994,49.896,58.488,82.991,57.991,64.126,44.508,44.838,49.636,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4217,49.234,55.335,60.814,43.927,90.941,58.186,56.161,61.546,60.543,48.126,93.908,64.673,64.162,42.001,50.552,58.488,82.982,57.991,64.126,44.515,44.982,49.643,Icterohaemorrhagiae,1,interrogans,93.908
Fiocruz_LV4234,49.234,55.968,60.814,43.927,90.941,58.186,56.161,61.546,60.543,48.126,93.908,64.673,64.162,42.266,50.552,58.488,82.836,57.991,64.126,44.786,44.997,49.925,Icterohaemorrhagiae,1,interrogans,93.908
CLEP00152,50.128,56.116,61.488,45.08,90.999,59.401,56.539,62.366,62.164,49.29,93.91,65.233,64.721,43.649,51.507,59.284,83.079,59.256,64.665,46.145,46.62,51.17,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni,93.91
Fiocruz_LV2897,49.093,55.738,60.665,43.747,90.763,58.008,55.507,61.347,60.375,48.005,93.95,64.534,64.096,42.306,50.402,58.281,82.007,57.937,63.871,44.833,44.916,49.976,Icterohaemorrhagiae,1,interrogans,93.95
56101,50.297,56.19,61.645,45.417,91.067,59.676,56.872,62.733,62.365,49.661,93.981,65.378,64.847,43.998,51.692,59.464,83.598,59.408,64.579,46.503,47.122,51.513,Icterohaemorrhagiae,1,Leptospira interrogans,93.981
MH4027,48.965,56.519,60.379,43.732,89.705,58.466,55.948,62,60.652,47.608,94.038,64.462,63.478,42.127,49.856,58.458,82.701,58.2,64.437,44.674,44.278,50.601,Icterohaemorrhagiae,1,interrogans,94.038
56626,65.124,77.045,49.775,43.418,57.843,44.876,80.734,94.065,89.365,41.682,57.621,50.419,47.16,35.545,63.136,90.771,56.257,43.55,46.384,38.255,43.076,42.88,Autumnalis,2,Leptospira interrogans,94.065
Fiocruz_L1-130,49.234,55.894,60.811,43.92,90.93,58.177,55.648,61.534,60.539,48.118,94.112,64.67,64.159,41.844,50.553,58.477,82.561,57.994,64.123,44.356,45.083,49.491,Icterohaemorrhagiae,1,interrogans,94.112
Fiocruz_LV199,49.234,55.882,60.814,43.913,90.938,58.186,55.659,61.546,60.543,48.126,94.119,64.673,64.162,42.418,50.552,58.488,82.561,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.119
Fiocruz_LV2767,49.231,55.884,60.811,43.927,90.938,58.183,55.656,61.542,60.539,48.126,94.119,64.67,64.159,42.418,50.549,58.451,82.248,57.988,64.005,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.119
Fiocruz_LV2772,49.231,55.878,60.811,43.927,90.938,58.183,55.656,61.542,60.539,48.126,94.119,64.67,64.159,42.418,50.549,58.451,82.239,57.988,64.005,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.119
Fiocruz_LV3373,49.231,55.869,60.811,43.927,90.938,58.183,55.656,61.542,60.539,48.126,94.119,64.67,64.159,42.418,50.549,58.485,82.236,57.988,64.123,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.119
Fiocruz_LV2791,49.234,55.888,60.814,43.927,90.939,58.186,55.659,61.546,60.543,48.126,94.12,64.673,64.162,42.418,50.552,58.488,82.561,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.12
Fiocruz_LV2973,49.234,55.888,60.814,43.927,90.939,58.186,55.659,61.546,60.543,48.126,94.12,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.949,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.12
Fiocruz_LV239,49.169,55.797,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.232,57.991,64.126,44.946,45.061,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2752,49.234,55.878,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.454,82.235,57.991,64.008,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2756C6,49.234,55.891,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.404,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2759,49.234,55.888,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.454,82.235,57.991,64.008,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2763,49.234,55.881,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.454,82.235,57.991,64.008,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2776,49.234,55.881,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2787,49.234,55.878,60.817,43.927,90.941,58.189,55.659,61.546,60.543,48.126,94.122,64.676,64.165,42.418,50.552,58.488,82.235,57.991,64.123,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2790,49.234,55.878,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2811,49.234,55.878,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2812,49.234,55.878,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.454,82.235,57.991,64.008,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2958,49.234,55.888,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.55,58.454,82.235,57.991,64.008,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV2959,49.234,55.888,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV3323,49.234,55.878,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.235,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
Fiocruz_LV3879,49.234,55.894,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,94.122,64.673,64.162,42.418,50.552,58.488,82.244,57.991,64.126,44.946,45.076,50.089,Icterohaemorrhagiae,1,interrogans,94.122
NIID21,49.037,56.744,60.455,43.72,89.803,58.457,55.936,61.987,60.762,47.595,94.132,64.553,63.545,42.115,49.845,58.555,82.954,58.27,64.428,44.661,44.26,50.692,Icterohaemorrhagiae,1,interrogans,94.132
201801761,61.158,76.134,49.796,41.426,57.679,42.404,80.365,91.365,94.134,39.298,55.878,47.891,47.401,33.96,60.711,81.124,57.265,43.86,44.872,35.365,41.373,42.256,Grippotyphosa,2,interrogans,94.134
NIID16,49.047,56.787,60.465,43.732,89.814,58.466,55.948,62,60.774,47.608,94.143,64.562,63.554,42.127,49.856,58.567,83.039,58.279,64.437,44.674,44.278,50.705,Icterohaemorrhagiae,1,interrogans,94.143
NIID7,49.077,56.82,60.496,43.767,89.848,58.494,55.983,62.038,60.813,47.646,94.176,64.592,63.583,42.163,49.889,58.601,83.055,58.309,64.465,44.711,44.334,50.743,Icterohaemorrhagiae,1,interrogans,94.176
NIID13,49.152,56.831,60.507,43.779,89.859,58.504,55.994,62.051,60.826,47.659,94.187,64.601,63.592,42.175,49.977,58.612,83.066,58.319,64.474,44.723,44.353,50.755,Icterohaemorrhagiae,1,interrogans,94.187
NIID17,49.097,56.813,60.517,43.79,89.871,58.513,56.006,62.064,60.838,47.672,94.197,64.611,63.602,42.187,49.911,58.624,83.003,58.329,64.483,44.736,44.371,50.768,Icterohaemorrhagiae,1,interrogans,94.197
UP_MMC_NIID_HP,50.755,54.153,68.796,43.221,88.523,62.769,52.015,58.005,57.358,47.432,85.418,66.823,64.848,41.5,50.74,55.778,94.21,61.486,67.27,43.327,45.664,51.706,Pyrogenes,1,interrogans,94.21
UP_MMC_NIID_LP,50.755,54.153,68.796,43.221,88.523,62.769,52.015,58.005,57.358,47.432,85.418,66.823,64.848,41.5,50.74,55.778,94.21,61.486,67.27,43.327,45.664,51.706,Pyrogenes,1,interrogans,94.21
NIID11,49.118,56.832,60.538,43.814,89.894,58.532,56.029,62.09,60.864,47.698,94.219,64.63,63.621,42.212,49.934,58.646,83.024,58.348,64.502,44.76,44.408,50.793,Icterohaemorrhagiae,1,interrogans,94.219
201401993,64.406,77.859,49.8,40.352,54.282,42.511,85.95,81.798,94.27,37.047,51.717,49.073,46.545,33.212,61.946,73.8,52.944,43.291,43.128,35.606,40.49,42.063,Grippotyphosa,2,kirschneri,94.27
56618,50.404,56.394,61.832,45.418,91.386,59.807,57.121,62.791,62.604,49.723,94.272,65.563,65.045,44.051,51.894,59.668,84.136,59.584,64.554,46.572,47.037,51.58,Icterohaemorrhagiae,1,Leptospira interrogans,94.272
200208340,49.512,57.438,61.441,43.89,89.973,59.006,56.237,62.156,61.26,48.585,94.284,65.238,64.08,43.216,50.382,58.68,82.586,59.32,64.973,45.939,46.068,51.967,Icterohaemorrhagiae,1,interrogans,94.284
UI29382,60.618,73.162,46.873,40.656,53.76,41.674,79.465,94.316,83.008,38.214,54.069,47.099,44.037,33.086,60.055,86.284,53.399,39.984,44.581,35.062,38.835,39.025,Autumnalis,2,Leptospira interrogans,94.316
202100065,35.511,38.326,45.116,52.949,46.056,41.685,37.338,39.495,41.927,38.642,45.555,43.118,40.137,36.753,35.9,41.665,45.162,40.673,49.848,37.58,94.369,79.159,Shermani,4,santarosai,94.369
202103004,49.41,57.566,60.837,44.17,90.086,59.33,56.076,62.301,61.156,48.812,94.398,64.912,64.426,43.27,50.287,58.837,83.222,58.821,64.81,45.81,45.966,51.152,Icterohaemorrhagiae,1,interrogans,94.398
grippotyphosa1231,62.185,76.584,49.624,41.865,57.486,42.746,82.485,91.306,94.45,0,0,0,0,0,0,0,0,0,0,0,0,0,Grippotyphosa,2,interrogans,94.45
257K,61.233,74.438,46.857,41.172,54.132,42.485,80.04,94.466,84.563,38.715,55.186,47.336,44.536,33.298,60.107,87.85,54.363,40.777,45.762,35.813,39.764,40.289,Autumnalis,2,interrogans,94.466
201802615,49.441,56.837,60.867,44.186,90.257,58.834,56.325,62.5,61.274,48.108,94.567,64.941,63.926,42.597,50.289,59.01,82.885,58.662,64.795,45.155,45.022,51.198,Icterohaemorrhagiae,1,interrogans,94.567
Duyster-Boelhouwer,63.853,77.357,50.874,41.483,55.926,43.245,86.423,84.775,94.619,39.169,53.157,49.193,47.655,34.303,62.275,74.968,53.576,46.048,45.229,36.563,43.106,43.285,Grippotyphosa,2,Leptospira kirschneri serovar Grippotyphosa str. Duyster-Boelhouwer,94.619
wtmanilae,51.313,54.677,68.992,44.045,88.297,63.623,52.215,58.535,58.63,48.231,85.269,67.05,65.104,42.469,51.36,56.296,94.692,62.431,67.485,44.272,46.899,52.447,Pyrogenes,1,interrogans,94.692
202202802,49.77,58.037,61.379,45.043,90.427,59.728,57.217,63.382,61.734,49.015,94.715,65.418,64.412,43.722,50.675,59.274,83.635,59.212,65.673,46.303,47.013,52.369,Icterohaemorrhagiae,1,interrogans,94.715
200309516,50.07,58.194,61.228,44.504,90.965,59.422,56.73,63.299,61.722,48.906,94.726,65.281,64.253,43.347,50.981,59.718,84.035,59.002,65.132,45.929,46.303,51.648,Icterohaemorrhagiae,1,interrogans,94.726
201601174,49.684,57.392,61.029,44.368,90.435,58.982,56.507,62.701,61.475,48.309,94.737,65.093,64.075,42.786,50.54,59.188,83.352,58.815,64.939,45.349,45.527,51.397,Icterohaemorrhagiae,1,interrogans,94.737
201700045,64.611,79.948,50.219,41.532,54.649,44.348,87.005,83.88,94.801,37.789,51.335,48.901,47.039,34.467,62.529,75.995,53.886,43.757,43.905,37.183,41.351,45.012,Grippotyphosa,2,kirschneri,94.801
202103001,49.898,58.004,61.269,44.764,90.463,60.007,56.689,62.722,61.671,49.775,94.819,65.32,65.029,44.187,50.776,59.218,83.579,59.358,65.257,46.786,47.031,51.819,Icterohaemorrhagiae,1,interrogans,94.819
56678,50.042,56.001,61.407,45.281,90.848,59.642,56.923,62.567,62.159,49.494,94.85,65.16,64.718,43.861,51.713,59.236,83.626,59.264,64.294,46.364,46.734,51.067,Icterohaemorrhagiae,1,Leptospira interrogans,94.85
R103,50.815,57.452,62.189,45.871,91.772,60.043,57.33,63.237,63.036,50.161,94.859,65.893,65.368,44.468,52.262,60.057,84.093,59.922,65.289,46.985,48.129,52.049,Icterohaemorrhagiae,1,interrogans,94.859
201801189,61.312,74.586,47.196,41.539,54.515,42.743,80.545,94.859,84.497,39.114,55.559,47.68,44.736,33.647,60.512,88.046,54.286,41.109,46,36.161,40.091,40.599,Autumnalis,2,interrogans,94.859
202101578,49.714,57.327,61.146,44.495,90.564,59.089,56.715,62.846,61.621,48.454,94.86,65.203,64.183,42.922,50.589,59.317,83.658,58.927,65.043,45.489,45.667,51.535,Icterohaemorrhagiae,1,interrogans,94.86
201801172bis,62.16,75.337,47.922,42.819,55.514,43.788,79.658,94.871,85.619,40.525,56.517,48.523,45.586,34.766,61.5,88.17,55.371,42.006,46.565,37.52,42.073,41.989,Autumnalis,2,interrogans,94.871
202103006,49.57,57.781,61.278,44.733,90.628,59.485,56.875,63.041,61.733,48.993,94.92,65.328,64.506,43.428,50.801,59.381,83.477,59.099,65.247,46.007,46.296,51.711,Icterohaemorrhagiae,1,interrogans,94.92
grippotyphosa1481,62.756,77.204,50.016,42.307,57.917,43.101,82.896,91.793,94.937,0,0,0,0,0,0,0,0,0,0,0,0,0,Grippotyphosa,2,interrogans,94.937
201800707,49.815,57.437,61.249,44.616,90.678,59.183,56.755,62.974,61.749,48.582,94.969,65.3,64.278,43.043,50.7,59.418,83.319,59.025,65.135,45.612,45.859,51.667,Icterohaemorrhagiae,1,interrogans,94.969
2002000634,49.902,57.609,61.249,44.732,90.69,59.277,56.871,63.103,61.754,48.711,94.979,65.319,64.297,42.705,50.888,59.436,83.432,59.043,65.226,45.295,45.857,51.237,Icterohaemorrhagiae,1,interrogans,94.979
200010104,49.92,57.758,61.29,44.662,90.723,59.221,56.801,63.026,61.8,48.634,95.013,65.339,64.316,43.091,50.821,59.476,83.335,59.064,65.171,45.661,45.76,51.717,Icterohaemorrhagiae,1,interrogans,95.013
200209405,50.689,58.204,61.868,45.238,91.696,60.152,57.605,64.278,62.44,49.886,95.041,65.884,64.814,44.28,51.696,60.437,84.239,59.607,65.828,46.876,47.585,52.596,Icterohaemorrhagiae,1,interrogans,95.041
M001_Tn_Mutant_Parent,52.121,54.68,69.989,45.239,89.458,64.228,52.938,59.755,60.136,49.782,85.909,67.982,66.181,43.826,52.462,57.381,95.044,63.405,68.753,45.851,49.116,53.121,Pyrogenes,1,Leptospira interrogans serovar Manilae str. M001_Tn_Mutant_Parent,95.044
MK146,46.012,49.104,85.74,38.792,66.588,77.413,51.469,50.922,56.089,39.176,69.359,95.049,64.494,39.64,48.792,52.382,71.342,70.529,66.137,43.49,43.982,57.451,Javanica,1,Leptospira borgpetersenii serovar Javanica str. MK146,95.049
